,leaf,stem,reward,contingency,date,session,trial
201,4,B,0,502080205080,20210706,3,21
202,3,B,0,502080205080,20210706,3,22
203,2,A,0,502080205080,20210706,3,23
204,1,A,0,502080205080,20210706,3,24
205,6,C,1,502080205080,20210706,3,25
206,5,C,0,502080205080,20210706,3,26
207,6,C,0,502080205080,20210706,3,27
208,5,C,0,502080205080,20210706,3,28
209,6,C,1,502080205080,20210706,3,29
210,5,C,0,502080205080,20210706,3,30
211,6,C,1,502080205080,20210706,3,31
212,5,C,0,502080205080,20210706,3,32
213,6,C,1,502080205080,20210706,3,33
214,5,C,1,502080205080,20210706,3,34
215,6,C,1,502080205080,20210706,3,35
216,5,C,1,502080205080,20210706,3,36
217,6,C,1,502080205080,20210706,3,37
218,5,C,0,502080205080,20210706,3,38
219,6,C,1,502080205080,20210706,3,39
220,5,C,1,502080205080,20210706,3,40
221,6,C,1,502080205080,20210706,3,41
222,5,C,1,502080205080,20210706,3,42
223,6,C,1,502080205080,20210706,3,43
224,5,C,0,502080205080,20210706,3,44
225,6,C,1,502080205080,20210706,3,45
226,5,C,1,502080205080,20210706,3,46
227,6,C,1,502080205080,20210706,3,47
228,5,C,1,502080205080,20210706,3,48
229,6,C,1,502080205080,20210706,3,49
230,5,C,0,502080205080,20210706,3,50
231,6,C,1,502080205080,20210706,3,51
232,5,C,0,502080205080,20210706,3,52
233,6,C,1,502080205080,20210706,3,53
234,5,C,1,502080205080,20210706,3,54
235,6,C,1,502080205080,20210706,3,55
236,5,C,1,502080205080,20210706,3,56
237,6,C,1,502080205080,20210706,3,57
238,5,C,1,502080205080,20210706,3,58
239,6,C,1,502080205080,20210706,3,59
240,5,C,0,505020502020,20210706,3,60
241,6,C,0,505020502020,20210706,3,61
242,5,C,0,505020502020,20210706,3,62
243,6,C,0,505020502020,20210706,3,63
244,5,C,0,505020502020,20210706,3,64
245,6,C,0,505020502020,20210706,3,65
246,5,C,1,505020502020,20210706,3,66
247,6,C,0,505020502020,20210706,3,67
248,5,C,0,505020502020,20210706,3,68
249,6,C,0,505020502020,20210706,3,69
250,5,C,0,505020502020,20210706,3,70
251,2,A,1,505020502020,20210706,3,71
252,1,A,1,505020502020,20210706,3,72
253,2,A,1,505020502020,20210706,3,73
254,6,C,1,505020502020,20210706,3,74
255,5,C,0,505020502020,20210706,3,75
256,6,C,0,505020502020,20210706,3,76
257,5,C,0,505020502020,20210706,3,77
258,6,C,0,505020502020,20210706,3,78
259,5,C,0,505020502020,20210706,3,79
260,6,C,0,505020502020,20210706,3,80
261,4,B,1,505020502020,20210706,3,81
262,3,B,0,505020502020,20210706,3,82
263,2,A,0,505020502020,20210706,3,83
264,1,A,0,505020502020,20210706,3,84
265,6,C,0,505020502020,20210706,3,85
266,5,C,0,505020502020,20210706,3,86
267,6,C,0,505020502020,20210706,3,87
268,4,B,1,505020502020,20210706,3,88
269,3,B,0,505020502020,20210706,3,89
270,4,B,0,505020502020,20210706,3,90
271,2,A,1,505020502020,20210706,3,91
272,1,A,1,505020502020,20210706,3,92
273,2,A,0,505020502020,20210706,3,93
274,1,A,1,505020502020,20210706,3,94
275,2,A,0,505020502020,20210706,3,95
276,1,A,1,505020502020,20210706,3,96
277,2,A,1,505020502020,20210706,3,97
278,1,A,1,505020502020,20210706,3,98
279,2,A,1,505020502020,20210706,3,99
280,1,A,0,505020502020,20210706,3,100
281,2,A,1,505020502020,20210706,3,101
282,1,A,1,505020502020,20210706,3,102
283,2,A,0,505020502020,20210706,3,103
284,4,B,0,505020502020,20210706,3,104
285,3,B,1,505020502020,20210706,3,105
286,4,B,1,505020502020,20210706,3,106
287,3,B,0,505020502020,20210706,3,107
288,4,B,0,505020502020,20210706,3,108
289,3,B,0,505020502020,20210706,3,109
290,5,C,0,505020502020,20210706,3,110
291,6,C,0,505020502020,20210706,3,111
292,5,C,0,505020502020,20210706,3,112
293,2,A,1,505020502020,20210706,3,113
294,1,A,1,505020502020,20210706,3,114
295,2,A,1,505020502020,20210706,3,115
296,1,A,1,505020502020,20210706,3,116
297,2,A,0,505020502020,20210706,3,117
298,1,A,1,505020502020,20210706,3,118
299,2,A,0,505020502020,20210706,3,119
300,1,A,0,205080502020,20210706,3,120
301,2,A,1,205080502020,20210706,3,121
302,1,A,0,205080502020,20210706,3,122
303,2,A,1,205080502020,20210706,3,123
304,1,A,0,205080502020,20210706,3,124
305,2,A,1,205080502020,20210706,3,125
306,1,A,0,205080502020,20210706,3,126
307,2,A,0,205080502020,20210706,3,127
308,1,A,0,205080502020,20210706,3,128
309,2,A,1,205080502020,20210706,3,129
310,1,A,1,205080502020,20210706,3,130
311,2,A,1,205080502020,20210706,3,131
312,1,A,1,205080502020,20210706,3,132
313,2,A,0,205080502020,20210706,3,133
314,1,A,0,205080502020,20210706,3,134
315,2,A,0,205080502020,20210706,3,135
316,1,A,0,205080502020,20210706,3,136
317,2,A,1,205080502020,20210706,3,137
318,1,A,0,205080502020,20210706,3,138
319,2,A,0,205080502020,20210706,3,139
320,5,C,0,205080502020,20210706,3,140
321,6,C,1,205080502020,20210706,3,141
322,5,C,0,205080502020,20210706,3,142
323,6,C,0,205080502020,20210706,3,143
324,5,C,1,205080502020,20210706,3,144
325,6,C,0,205080502020,20210706,3,145
326,5,C,0,205080502020,20210706,3,146
327,4,B,1,205080502020,20210706,3,147
328,3,B,1,205080502020,20210706,3,148
329,2,A,0,205080502020,20210706,3,149
330,1,A,0,205080502020,20210706,3,150
331,2,A,1,205080502020,20210706,3,151
332,1,A,0,205080502020,20210706,3,152
333,2,A,0,205080502020,20210706,3,153
334,1,A,1,205080502020,20210706,3,154
335,2,A,0,205080502020,20210706,3,155
336,1,A,0,205080502020,20210706,3,156
337,2,A,1,205080502020,20210706,3,157
338,5,C,0,205080502020,20210706,3,158
339,6,C,0,205080502020,20210706,3,159
340,5,C,0,205080502020,20210706,3,160
341,4,B,1,205080502020,20210706,3,161
342,3,B,1,205080502020,20210706,3,162
343,4,B,1,205080502020,20210706,3,163
344,3,B,1,205080502020,20210706,3,164
345,4,B,1,205080502020,20210706,3,165
346,3,B,1,205080502020,20210706,3,166
347,4,B,0,205080502020,20210706,3,167
348,3,B,1,205080502020,20210706,3,168
349,4,B,0,205080502020,20210706,3,169
350,3,B,1,205080502020,20210706,3,170
351,4,B,0,205080502020,20210706,3,171
352,3,B,1,205080502020,20210706,3,172
353,4,B,0,205080502020,20210706,3,173
354,3,B,0,205080502020,20210706,3,174
355,4,B,1,205080502020,20210706,3,175
356,3,B,1,205080502020,20210706,3,176
357,4,B,0,205080502020,20210706,3,177
358,3,B,1,205080502020,20210706,3,178
359,4,B,1,205080502020,20210706,3,179
360,3,B,0,805020202050,20210706,4,0
361,4,B,0,805020202050,20210706,4,1
362,1,A,1,805020202050,20210706,4,2
363,2,A,0,805020202050,20210706,4,3
364,5,C,0,805020202050,20210706,4,4
365,6,C,0,805020202050,20210706,4,5
366,5,C,0,805020202050,20210706,4,6
367,6,C,0,805020202050,20210706,4,7
368,4,B,1,805020202050,20210706,4,8
369,3,B,0,805020202050,20210706,4,9
370,4,B,0,805020202050,20210706,4,10
371,2,A,1,805020202050,20210706,4,11
372,1,A,1,805020202050,20210706,4,12
373,2,A,0,805020202050,20210706,4,13
374,1,A,1,805020202050,20210706,4,14
375,2,A,1,805020202050,20210706,4,15
376,1,A,1,805020202050,20210706,4,16
377,2,A,0,805020202050,20210706,4,17
378,1,A,0,805020202050,20210706,4,18
379,2,A,1,805020202050,20210706,4,19
380,1,A,1,805020202050,20210706,4,20
381,2,A,0,805020202050,20210706,4,21
382,1,A,1,805020202050,20210706,4,22
383,2,A,1,805020202050,20210706,4,23
384,1,A,1,805020202050,20210706,4,24
385,2,A,0,805020202050,20210706,4,25
386,1,A,1,805020202050,20210706,4,26
387,2,A,1,805020202050,20210706,4,27
388,1,A,1,805020202050,20210706,4,28
389,2,A,1,805020202050,20210706,4,29
390,1,A,1,805020202050,20210706,4,30
391,2,A,0,805020202050,20210706,4,31
392,1,A,1,805020202050,20210706,4,32
393,2,A,0,805020202050,20210706,4,33
394,1,A,1,805020202050,20210706,4,34
395,2,A,0,805020202050,20210706,4,35
396,1,A,0,805020202050,20210706,4,36
397,2,A,0,805020202050,20210706,4,37
398,1,A,1,805020202050,20210706,4,38
399,2,A,1,805020202050,20210706,4,39
400,1,A,1,805020202050,20210706,4,40
401,2,A,0,805020202050,20210706,4,41
402,1,A,1,805020202050,20210706,4,42
403,2,A,0,805020202050,20210706,4,43
404,1,A,1,805020202050,20210706,4,44
405,2,A,0,805020202050,20210706,4,45
406,1,A,1,805020202050,20210706,4,46
407,2,A,0,805020202050,20210706,4,47
408,1,A,1,805020202050,20210706,4,48
409,2,A,0,805020202050,20210706,4,49
410,1,A,1,805020202050,20210706,4,50
411,2,A,1,805020202050,20210706,4,51
412,1,A,0,805020202050,20210706,4,52
413,2,A,1,805020202050,20210706,4,53
414,1,A,1,805020202050,20210706,4,54
415,2,A,1,805020202050,20210706,4,55
416,1,A,1,805020202050,20210706,4,56
417,2,A,0,805020202050,20210706,4,57
418,1,A,1,805020202050,20210706,4,58
419,2,A,0,805020202050,20210706,4,59
420,1,A,0,202050205080,20210706,4,60
421,2,A,0,202050205080,20210706,4,61
422,1,A,0,202050205080,20210706,4,62
423,2,A,0,202050205080,20210706,4,63
424,1,A,0,202050205080,20210706,4,64
425,5,C,1,202050205080,20210706,4,65
426,6,C,1,202050205080,20210706,4,66
427,5,C,1,202050205080,20210706,4,67
428,6,C,1,202050205080,20210706,4,68
429,5,C,0,202050205080,20210706,4,69
430,6,C,1,202050205080,20210706,4,70
431,5,C,0,202050205080,20210706,4,71
432,6,C,1,202050205080,20210706,4,72
433,5,C,1,202050205080,20210706,4,73
434,6,C,1,202050205080,20210706,4,74
435,5,C,1,202050205080,20210706,4,75
436,6,C,0,202050205080,20210706,4,76
437,5,C,0,202050205080,20210706,4,77
438,6,C,1,202050205080,20210706,4,78
439,5,C,0,202050205080,20210706,4,79
440,6,C,1,202050205080,20210706,4,80
441,5,C,1,202050205080,20210706,4,81
442,6,C,0,202050205080,20210706,4,82
443,5,C,1,202050205080,20210706,4,83
444,6,C,1,202050205080,20210706,4,84
445,5,C,0,202050205080,20210706,4,85
446,6,C,1,202050205080,20210706,4,86
447,5,C,1,202050205080,20210706,4,87
448,6,C,1,202050205080,20210706,4,88
449,5,C,0,202050205080,20210706,4,89
450,6,C,1,202050205080,20210706,4,90
451,5,C,1,202050205080,20210706,4,91
452,6,C,1,202050205080,20210706,4,92
453,5,C,0,202050205080,20210706,4,93
454,6,C,0,202050205080,20210706,4,94
455,5,C,0,202050205080,20210706,4,95
456,6,C,1,202050205080,20210706,4,96
457,5,C,0,202050205080,20210706,4,97
458,6,C,1,202050205080,20210706,4,98
459,5,C,1,202050205080,20210706,4,99
460,6,C,1,202050205080,20210706,4,100
461,5,C,0,202050205080,20210706,4,101
462,6,C,1,202050205080,20210706,4,102
463,5,C,1,202050205080,20210706,4,103
464,6,C,0,202050205080,20210706,4,104
465,5,C,1,202050205080,20210706,4,105
466,6,C,0,202050205080,20210706,4,106
467,5,C,0,202050205080,20210706,4,107
468,6,C,1,202050205080,20210706,4,108
469,5,C,1,202050205080,20210706,4,109
470,6,C,1,202050205080,20210706,4,110
471,5,C,1,202050205080,20210706,4,111
472,6,C,1,202050205080,20210706,4,112
473,5,C,0,202050205080,20210706,4,113
474,6,C,1,202050205080,20210706,4,114
475,5,C,1,202050205080,20210706,4,115
476,6,C,1,202050205080,20210706,4,116
477,5,C,0,202050205080,20210706,4,117
478,6,C,1,202050205080,20210706,4,118
479,5,C,1,202050205080,20210706,4,119
480,6,C,0,208050802020,20210706,4,120
481,5,C,0,208050802020,20210706,4,121
482,6,C,0,208050802020,20210706,4,122
483,5,C,1,208050802020,20210706,4,123
484,6,C,0,208050802020,20210706,4,124
485,5,C,0,208050802020,20210706,4,125
486,6,C,1,208050802020,20210706,4,126
487,5,C,0,208050802020,20210706,4,127
488,6,C,0,208050802020,20210706,4,128
489,5,C,0,208050802020,20210706,4,129
490,6,C,0,208050802020,20210706,4,130
491,3,B,1,208050802020,20210706,4,131
492,4,B,0,208050802020,20210706,4,132
493,3,B,0,208050802020,20210706,4,133
494,2,A,0,208050802020,20210706,4,134
495,1,A,0,208050802020,20210706,4,135
496,2,A,0,208050802020,20210706,4,136
497,5,C,0,208050802020,20210706,4,137
498,6,C,1,208050802020,20210706,4,138
499,5,C,1,208050802020,20210706,4,139
500,6,C,0,208050802020,20210706,4,140
501,5,C,0,208050802020,20210706,4,141
502,6,C,0,208050802020,20210706,4,142
503,5,C,0,208050802020,20210706,4,143
504,6,C,1,208050802020,20210706,4,144
505,5,C,0,208050802020,20210706,4,145
506,6,C,0,208050802020,20210706,4,146
507,5,C,0,208050802020,20210706,4,147
508,6,C,0,208050802020,20210706,4,148
509,4,B,0,208050802020,20210706,4,149
510,3,B,0,208050802020,20210706,4,150
511,2,A,1,208050802020,20210706,4,151
512,1,A,1,208050802020,20210706,4,152
513,2,A,1,208050802020,20210706,4,153
514,1,A,0,208050802020,20210706,4,154
515,2,A,0,208050802020,20210706,4,155
516,1,A,0,208050802020,20210706,4,156
517,2,A,1,208050802020,20210706,4,157
518,1,A,0,208050802020,20210706,4,158
519,2,A,0,208050802020,20210706,4,159
520,1,A,0,208050802020,20210706,4,160
521,2,A,1,208050802020,20210706,4,161
522,1,A,0,208050802020,20210706,4,162
523,2,A,1,208050802020,20210706,4,163
524,1,A,0,208050802020,20210706,4,164
525,2,A,1,208050802020,20210706,4,165
526,1,A,0,208050802020,20210706,4,166
527,2,A,1,208050802020,20210706,4,167
528,5,C,0,208050802020,20210706,4,168
529,6,C,0,208050802020,20210706,4,169
530,5,C,0,208050802020,20210706,4,170
531,6,C,0,208050802020,20210706,4,171
532,2,A,1,208050802020,20210706,4,172
533,1,A,0,208050802020,20210706,4,173
534,2,A,1,208050802020,20210706,4,174
535,1,A,0,208050802020,20210706,4,175
536,2,A,1,208050802020,20210706,4,176
537,1,A,1,208050802020,20210706,4,177
538,2,A,0,208050802020,20210706,4,178
539,1,A,1,208050802020,20210706,4,179
540,1,A,1,508050208020,20210706,5,0
541,5,C,1,508050208020,20210706,5,1
542,6,C,0,508050208020,20210706,5,2
543,3,B,1,508050208020,20210706,5,3
544,4,B,0,508050208020,20210706,5,4
545,2,A,1,508050208020,20210706,5,5
546,1,A,0,508050208020,20210706,5,6
547,5,C,1,508050208020,20210706,5,7
548,6,C,0,508050208020,20210706,5,8
549,5,C,1,508050208020,20210706,5,9
550,6,C,0,508050208020,20210706,5,10
551,5,C,1,508050208020,20210706,5,11
552,4,B,0,508050208020,20210706,5,12
553,3,B,1,508050208020,20210706,5,13
554,4,B,0,508050208020,20210706,5,14
555,3,B,0,508050208020,20210706,5,15
556,2,A,1,508050208020,20210706,5,16
557,1,A,0,508050208020,20210706,5,17
558,2,A,1,508050208020,20210706,5,18
559,1,A,0,508050208020,20210706,5,19
560,2,A,0,508050208020,20210706,5,20
561,5,C,0,508050208020,20210706,5,21
562,6,C,1,508050208020,20210706,5,22
563,5,C,0,508050208020,20210706,5,23
564,6,C,0,508050208020,20210706,5,24
565,5,C,0,508050208020,20210706,5,25
566,6,C,1,508050208020,20210706,5,26
567,3,B,1,508050208020,20210706,5,27
568,4,B,0,508050208020,20210706,5,28
569,3,B,1,508050208020,20210706,5,29
570,2,A,0,508050208020,20210706,5,30
571,1,A,0,508050208020,20210706,5,31
572,2,A,1,508050208020,20210706,5,32
573,1,A,0,508050208020,20210706,5,33
574,2,A,1,508050208020,20210706,5,34
575,6,C,1,508050208020,20210706,5,35
576,5,C,1,508050208020,20210706,5,36
577,6,C,0,508050208020,20210706,5,37
578,5,C,1,508050208020,20210706,5,38
579,6,C,0,508050208020,20210706,5,39
580,5,C,0,508050208020,20210706,5,40
581,6,C,0,508050208020,20210706,5,41
582,5,C,0,508050208020,20210706,5,42
583,2,A,1,508050208020,20210706,5,43
584,1,A,0,508050208020,20210706,5,44
585,2,A,1,508050208020,20210706,5,45
586,1,A,0,508050208020,20210706,5,46
587,2,A,1,508050208020,20210706,5,47
588,1,A,0,508050208020,20210706,5,48
589,2,A,1,508050208020,20210706,5,49
590,5,C,1,508050208020,20210706,5,50
591,6,C,0,508050208020,20210706,5,51
592,5,C,0,508050208020,20210706,5,52
593,6,C,0,508050208020,20210706,5,53
594,5,C,1,508050208020,20210706,5,54
595,3,B,1,508050208020,20210706,5,55
596,4,B,1,508050208020,20210706,5,56
597,3,B,1,508050208020,20210706,5,57
598,4,B,1,508050208020,20210706,5,58
599,3,B,1,508050208020,20210706,5,59
600,4,B,1,202050802080,20210706,5,60
601,3,B,1,202050802080,20210706,5,61
602,4,B,1,202050802080,20210706,5,62
603,3,B,0,202050802080,20210706,5,63
604,4,B,1,202050802080,20210706,5,64
605,3,B,1,202050802080,20210706,5,65
606,4,B,1,202050802080,20210706,5,66
607,3,B,1,202050802080,20210706,5,67
608,4,B,1,202050802080,20210706,5,68
609,3,B,1,202050802080,20210706,5,69
610,4,B,1,202050802080,20210706,5,70
611,3,B,0,202050802080,20210706,5,71
612,4,B,0,202050802080,20210706,5,72
613,3,B,1,202050802080,20210706,5,73
614,4,B,1,202050802080,20210706,5,74
615,3,B,0,202050802080,20210706,5,75
616,4,B,1,202050802080,20210706,5,76
617,3,B,1,202050802080,20210706,5,77
618,4,B,1,202050802080,20210706,5,78
619,3,B,0,202050802080,20210706,5,79
620,4,B,1,202050802080,20210706,5,80
621,3,B,1,202050802080,20210706,5,81
622,4,B,1,202050802080,20210706,5,82
623,3,B,1,202050802080,20210706,5,83
624,4,B,1,202050802080,20210706,5,84
625,3,B,1,202050802080,20210706,5,85
626,4,B,0,202050802080,20210706,5,86
627,3,B,1,202050802080,20210706,5,87
628,4,B,0,202050802080,20210706,5,88
629,3,B,1,202050802080,20210706,5,89
630,4,B,0,202050802080,20210706,5,90
631,3,B,0,202050802080,20210706,5,91
632,4,B,1,202050802080,20210706,5,92
633,3,B,0,202050802080,20210706,5,93
634,4,B,1,202050802080,20210706,5,94
635,3,B,0,202050802080,20210706,5,95
636,4,B,1,202050802080,20210706,5,96
637,3,B,1,202050802080,20210706,5,97
638,4,B,1,202050802080,20210706,5,98
639,3,B,1,202050802080,20210706,5,99
640,4,B,1,202050802080,20210706,5,100
641,3,B,0,202050802080,20210706,5,101
642,4,B,1,202050802080,20210706,5,102
643,3,B,1,202050802080,20210706,5,103
